n,insert_time,erase_time
100000,0.040009022,0.025704002
200000,0.099618340,0.073662424
300000,0.180085897,0.141089296
400000,0.260377073,0.193235779
500000,0.354803991,0.271902800
600000,0.487696600,0.392405987
700000,0.713376236,0.550164127
800000,0.866800976,0.627592754
900000,0.995993567,0.738376808
1000000,1.004011822,0.743751001
