n,insert_time,erase_time
100000,0.036428595,0.013623667
200000,0.089923000,0.036847973
300000,0.160129547,0.081654835
400000,0.235069990,0.120928144
500000,0.324550962,0.172893572
600000,0.381985664,0.186111641
700000,0.439402199,0.234055758
800000,0.653082418,0.346091413
900000,0.868677330,0.423928070
1000000,0.985454988,0.492563629
