n,insert_time,erase_time
100000,0.010854244,0.003896236
200000,0.025708818,0.008981419
300000,0.040589571,0.013854885
400000,0.056999779,0.020725632
500000,0.076271009,0.029037809
600000,0.097430134,0.039941549
700000,0.114317083,0.045078945
800000,0.137310743,0.056624794
900000,0.154282045,0.069416428
1000000,0.190991163,0.081576014
