n,insert_time,erase_time
100000,0.029213238,0.014629555
200000,0.068001604,0.040694141
300000,0.125980806,0.073112535
400000,0.229160023,0.160047436
500000,0.272200346,0.172471428
600000,0.306088161,0.220674086
700000,0.416072226,0.262968636
800000,0.473387957,0.325712633
900000,0.512752581,0.324089956
1000000,0.557484770,0.373016024
