n,insert_time,erase_time
100000,0.023604870,0.012201357
200000,0.060177803,0.037106609
300000,0.126378012,0.090370226
400000,0.178285170,0.122402620
500000,0.279554558,0.183595419
600000,0.353853273,0.240751982
700000,0.459155607,0.299062729
800000,0.567537212,0.368299007
900000,0.716802073,0.458040619
1000000,0.847750664,0.545666552
